label,balanced_sms
spam,eerie nokia tones 4u rply tone title 8007 eg tone dracula 8007 titles ghost addamsfa munsters exorcist twilight wwwgetzedcouk pobox36504w45wq 150p
ham,come room point iron plan weekend
ham,wanna art
ham,also sir sent email log usc payment portal ill send another message explain things back home great weekend
ham,okay lor still let us go ah coz know later drop cards box right
ham,shuhui say change 2 suntec steamboat u noe r u
spam,last chance claim ur 150 worth discount vouchers today text shop 85023 savamob offers mobile cs savamob pobox84 m263uz 300 sub 16
spam,guaranteed latest nokia phone 40gb ipod mp3 player 500 prize txt word collect 83355 ibhltd ldnw15h 150pmtmsgrcvd18
ham,accidentally deleted message resend please
ham,sorry c ur msg yar lor poor thing 4 one night tmr ull brand new room 2 sleep
spam,hi babe jordan r u im home abroad lonely text back u wanna chat xxsp visionsmscom text stop stopcost 150p 08712400603
spam,please call customer service representative 0800 169 6031 10am9pm guaranteed 1000 cash 5000 prize
spam,1 new voicemail please call 08719181513
ham,tiime dont let hug dont break tears
spam,current leading bid 151 pause auction send customer care 08718726270
ham,sorry got things may pub later
spam,wont believe true incredible txts reply g learn truly amazing things blow mind o2fwd 18ptxt
ham,ok
ham,oops shower u called hey parking garage collapsed university hospital see im crazy stuff like happen
spam,18 days euro2004 kickoff u kept informed latest news results daily unsubscribe send get euro stop 83222
ham,yesgauti sehwag odi series
spam,ripped get mobile content wwwclubmobycom call 08717509990 polytruepixringtonesgames six downloads 3
spam,awarded sipix digital camera call 09061221061 landline delivery within 28days cs box177 m221bp 2yr warranty 150ppm 16 p p399
spam,call 09090900040 listen extreme dirty live chat going office right total privacy one knows sic listening 60p min 247mp 0870753331018
spam,hmv bonus special 500 pounds genuine hmv vouchers answer 4 easy questions play send hmv 86688 infowww100percentrealcom
ham,wondering would okay call uncle john let know things nigeria r ltgt dollars 2years sent know strain plan pay back every dime gives every dime expect anything practical something like
spam,latest nokia mobile ipod mp3 player 400 proze guaranteed reply win 83355 norcorp ltd150mtmsgrcvd18
spam,download many ringtones u like restrictions 1000s 2 choose u even send 2 yr buddys txt sir 80082 3
spam,someone u know asked dating service 2 contact cant guess call 09058095107 revealed pobox 7 s3xy 150p
spam,block breaker comes deluxe format new features great graphics tmobile buy 5 replying get bbdeluxe take challenge
spam,hi 07734396839 ibh customer loyalty offer new nokia6600 mobile 10 txtauctiontxt wordstart no81151 get now4t
ham,audrie lousy autocorrect
ham,latebut kwish
ham,excellent ready moan scream ecstasy
ham,lover need
ham,many times told stage use laugh listen aha
ham,stand away doesnt heart ache without dont wonder dont crave
ham,also north carolina texas atm would go gre site pay test results sent
ham,dizzamn aight ill ask suitemates get back
ham,si take mokka players
spam,sunshine hols claim ur med holiday send stamped self address envelope drinks us uk po box 113 bray wicklow eire quiz starts saturday unsub stop
spam,double mins 1000 txts orange tariffs latest motorola sonyericsson nokia bluetooth free call mobileupd8 08000839402 call2optouthf8
ham,im chennai velachery
ham,good evening sir hope nice day wanted bring notice late paying rent past months pay ltgt charge felt would inconsiderate nag something give great cost thats didnt speak however recession wont able pay charge month hence askin well ahead months end please help thank everything
spam,rct thnq adrian u text rgds vatian
ham,mode men left
spam,goldviking 29m inviting friend reply yes762 no762 see wwwsmsacugoldviking stop send stop frnd 62468
ham,try neva mate
spam,customer service announcement recently tried make delivery unable please call 07090298926 reschedule ref9307622
ham,ok ill let noe later n ask call u tmr
ham,ok
ham,sun cant come earth send luv rays cloud cant come river send luv rain cant come meet u send care msg u gud evng
ham,ok finishing soon
ham,love
ham,shopping eh ger toking abt syd lehhaha
spam,congrats 2 mobile 3g videophones r call 09061744553 videochat wid ur mates play java games dload polyh music noline rentl bx420 ip4 5we 150pm
ham,hey chief give bell get need talk royal visit 1st june
spam,free 1st week no1 nokia tone 4 ur mobile every week txt nokia 8077 get txting tell ur mates wwwgetzedcouk pobox 36504 w45wq 16 norm150ptone
spam,private 2003 account statement shows 800 unredeemed sim points call 08718738001 identifier code 49557 expires 261104
ham,hospital da return home evening
ham,double eviction week spiral michael good riddance
spam,back 2 work 2morro half term u c 2nite 4 sexy passion b4 2 go back chat 09099726481 luv dena calls 1minmobsmorelkpobox177hp51fl
ham,told accenture confirm true
ham,huh early dinner outside izzit
spam,dear voucher holder 2 claim 1st class airport lounge passes using holiday voucher call 08704439680 booking quote 1st class x 2
spam,u get 2 phone wanna chat 2 set meet call 09096102316 u cum 2moro luv jane xx calls1minmoremobsemspobox45po139wa
spam,ringtoneking 84484
spam,mobile 11mths update free oranges latest colour camera mobiles unlimited weekend calls call mobile upd8 freefone 08000839402 2stoptx
ham,keep safe need miss already envy everyone sees real life
ham,anything lor u decide
ham,special
ham,simply sitting watching match office
spam,ou guaranteed latest nokia phone 40gb ipod mp3 player 500 prize txt word collect 83355 ibhltd ldnw15h 150pmtmsgrcvd18
spam,join uks horniest dogging service u sex 2nite sign follow instructions txt entry 69888 nytec2a3lpmsg150p
spam,welcome ukmobiledate msg free giving free calling 08719839835 future mgs billed 150p daily cancel send go stop 89123
ham,sorry cant help
ham,sthis increase chance winning
spam,ur cashbalance currently 500 pounds maximize ur cashin send collect 83600 150pmsg cc 08718720201 po box 11414 tcrw1
ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
ham,ok let u noe leave house
ham,yar lor keep raining non stop u wan 2 go elsewhere
ham,yup thk u oso boring wat
spam,guaranteed 1000 cash 2000 prize claim yr prize call customer service representative 08714712379 10am7pm cost 10p
ham,part checking iq
ham,still west coast haiz take forever come back
spam,updatenow 12mths half price orange line rental 400minscall mobileupd8 08000839402 call2optoutj5q
spam,lastest stereophonics marley dizzee racal libertines strokes win nookii games flirt click themob wap bookmark text wap 82468
spam,nokia 7250i get win free auction take part send nokia 86021 hgsuite3422lands roww1jhl 16
spam,congratulations u claim 2 vip row tickets 2 c blu concert november blu gift guaranteed call 09061104276 claim tscs wwwsmsconet cost375max
spam,urgent 2nd attempt contact u 900 prize yesterday still awaiting collection claim call 09061702893
spam,sms services inclusive text credits pls goto wwwcomuknet login 3qxj9 unsubscribe stop extra charge help 08702840625comuk 220cm2 9ae
ham,still otside leu come 2morrow maga
ham,well theres pattern emerging friends telling drive come smoke telling im weed fiendmake smoke muchimpede things see im hesitant
ham,important prevent dehydration giving enough fluids
spam,08714712388 10am7pm cost 10p
spam,taking part mobile survey yesterday 500 texts 2 use however wish 2 get txts send txt 80160 tc wwwtxt43com 150p
ham,way
ham,would ip address test considering computer isnt minecraft server
spam,winner u specially selected 2 receive 1000 4 holiday flights inc speak live operator 2 claim 0871277810910pmin 18
ham,yes nigh cant aha
ham,white fudge oreos stores
spam,freemsg 1month unlimited free calls activate smartcall txt call 68866 subscriptn3gbpwk unlimited calls help 08448714184 stoptxt stop landlineonly
spam,urgent 2nd attempt contact u 900 prize yesterday still awaiting collection claim call 09061702893 acl03530150pm
spam,dear uve invited xchat final attempt contact u txt chat 86688 150pmsgrcvdhgsuite3422landsroww1j6hl ldn 18 yrs
ham,hi dear call urgnt dont know whats problem dont want work problem least tell wating reply
spam,message free welcome new improved sex dogging club unsubscribe service reply stop msgs150p 18
spam,want explicit sex 30 secs ring 02073162414 costs 20pmin gsex pobox 2667 wc1n 3xx
spam,guaranteed 1000 cash 2000 prize claim yr prize call customer service representative 08714712412 10am7pm cost 10p
spam,congrats 2 mobile 3g videophones r call 09063458130 videochat wid ur mates play java games dload polyph music noline rentl bx420 ip4 5we 150p
spam,eerie nokia tones 4u rply tone title 8007 eg tone dracula 8007 titles ghost addamsfa munsters exorcist twilight wwwgetzedcouk pobox36504w45wq 150p
spam,congratulations youve youre winner august 1000 prize draw call 09066660100 prize code 2309
spam,thank winner notified sms good luck future marketing reply stop 84122 customer services 08450542832
spam,free msg sorry service ordered 81303 could delivered sufficient credit please top receive service
ham,know shall speak ltgt minutes
ham,aight close still around alexs place
spam,guaranteed latest nokia phone 40gb ipod mp3 player 500 prize txt word collect 83355 ibhltd ldnw15h 150pmtmsgrcvd18
ham,im gonnamissu muchi would say il send u postcard buttheres aboutas much chance merememberin asthere ofsi breakin contract luv yaxx
ham,sos amount get pls
spam,4 costa del sol holiday 5000 await collection call 09050090044 toclaim sae tc pobox334 stockport sk38xh cost150pm max10mins
spam,new tones week include 1mcflyall ab 2 sara jorgeshock 3 smithswitch order follow instructions next message
ham,house water dock boat rolled newscaster dabbles jazz flute behind wheel
spam,4mths half price orange line rental latest camera phones 4 free phone 11mths call mobilesdirect free 08000938767 update or2stoptxt
spam,save money wedding lingerie wwwbridalpetticoatdreamscouk choose superb selection national delivery brought weddingfriend
spam,free2day sexy st georges day pic jordantxt pic 89080 dont miss every wk saucy celeb4 pics c pocketbabecouk 0870241182716 3wk
spam,dorothykiefercom bank granite issues strongbuy explosive pick members 300 nasdaq symbol cdgt 500 per
spam,review keep fantastic nokia ngage game deck club nokia go 2 wwwcnupdatescomnewsletter unsubscribe alerts reply word
ham,cant talk nowi call candont keep calling
spam,think ur smart win 200 week weekly quiz text play 85222 nowtcs winnersclub po box 84 m26 3uz 16 gbp150week
spam,urgent mobile awarded 2000 bonus caller prize 10803 2nd attempt contact call 08714719523 box95qu bt national rate
ham,place ur points e cultures module already
ham,ok also wan 2 watch e 9 pm show
spam,dont know u u dont know send chat 86688 lets find 150pmsg rcvd hgsuite3422landsroww1j6hl ldn 18 years
spam,free unlimited hardcore porn direct 2 mobile txt porn 69200 get free access 24 hrs chrgd50p per day txt stop 2exit msg free
spam,well done england get official poly ringtone colour flag yer mobile text tone flag 84199 optout txt eng stop box39822 w111wx 150
ham,gokila talking aha
spam,weekly coolmob tones ready download weeks new tones include 1 crazy frogaxel f 2 akonlonely 3 black eyeddont p info n
spam,sale arsenal dartboard good condition doubles trebles
spam,december mobile 11mths entitled update latest colour camera mobile free call mobile update vco free 08002986906
ham,b late love mum
ham,xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas
ham,seriously spell name
ham,hey babe hows going ever figure going new years
ham,dunno lei thk mum lazy go neva ask yet
ham,wait 2 minstand bus stop
ham,try something dear read something exams
spam,85233 freeringtonereply real
spam,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge
spam,thanks vote sing along stars karaoke mobile free link reply sing
spam,recieve tone within next 24hrs terms conditions please see channel u teletext pg 750
ham,hello baby get back moms setting computer filling belly goes loverboy miss already sighs
spam,welcome please reply age gender begin eg 24m
ham,god picked flower dippeditinadew lovingly touched itwhichturnedinto u gifted tomeandsaidthis friend 4u
spam,please call 08712402972 immediately urgent message waiting
ham,aiyo please got time meh
spam,urgent mobile awarded 1500 bonus caller prize 27603 final attempt 2 contact u call 08714714011
spam,free entry 250 weekly competition text word win 80086 18 tc wwwtxttowincouk
spam,urgent trying contact u todays draw shows 2000 prize guaranteed call 09066358361 land line claim y87 valid 12hrs
ham,case guess ill see campus lodge
ham,omg could snow tonite
ham,yup n fren lor im meeting fren 730
spam,urgent trying contact last weekends draw shows 900 prize guaranteed call 09061701851 claim code k61 valid 12hours
ham,hows favourite person today r u workin hard couldnt sleep last nite nearly rang u 430
spam,valued vodafone customer computer picked win 150 prize collect easy call 09061743386
spam,someone u know asked dating service 2 contact cant guess call 09058091854 revealed po box385 m6 6wu
spam,ever notice youre driving anyone going slower idiot everyone driving faster maniac
ham,sorry ill call later ltgt mins
spam,free msg get gnarls barkleys crazy ringtone totally free reply go message right
spam,urgent please call 09066612661 landline 5000 cash luxury 4 canary islands holiday await collection tcs sae award 20m12aq 150ppm 16
spam,urgent mobile number awarded 2000 prize guaranteed call 09061790121 land line claim 3030 valid 12hrs 150ppm
spam,thanks ringtone order ref number k718 mobile charged 450 tone arrive please call customer services 09065069120
spam,free msg ringtonefrom httptms widelivecomindex wmlid1b6a5ecef91ff937819firsttrue180430jul05
spam,missed call alert numbers called left message 07008009200
ham,cud u tell ppl im gona b bit l8 cos 2 buses hav gon past cos full im still waitin 4 1 pete x
ham,finished work yet
ham,say slowly godi love amp need youclean heart bloodsend ten special people amp u c miracle tomorrow itplspls
spam,hello darling today would love chat dont tell look like sexy
ham,omg one thing another cat worms bad day end
spam,reply name address receive post weeks completely free accommodation various global locations wwwphb1com ph08700435505150p
spam,urgent last weekends draw shows 1000 cash spanish holiday call 09050000332 claim tc rstm sw7 3ss 150ppm
spam,ur cashbalance currently 500 pounds maximize ur cashin send go 86688 150pmeg cc 08718720201 hgsuite3422lands roww1j6hl
spam,cashbincouk get lots cash weekend wwwcashbincouk dear welcome weekend got biggest best ever cash give away
ham,yeah confirmed staying weekend
spam,big brother alert computer selected u 10k cash 150 voucher call 09064018838 ntt po box cro1327 18 bt landline cost 150ppm mobiles vary
spam,shop till u drop either 10k 5k 500 cash 100 travel voucher call 09064011000 ntt po box cr01327bt fixedline cost 150ppm mobile vary
ham,da run activate full version da
ham,wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob
spam,youve tkts euro2004 cup final 800 cash collect call 09058099801 b4190604 pobox 7876150ppm
ham,make 3 4 fucks sake x
spam,ur cashbalance currently 500 pounds maximize ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422lands roww1j6hl
spam,wont believe true incredible txts reply g learn truly amazing things blow mind o2fwd 18ptxt
ham,cbe really good nowadayslot shop showroomscity shaping good
spam,urgent call 09066612661 landline complementary 4 tenerife holiday 10000 cash await collection sae tcs po box 3 wa14 2px 150ppm 18 sender hol offer
ham,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend
spam,double mins txts 4 6months free bluetooth orange available sony nokia motorola phones call mobileupd8 08000839402 call2optoutn9dx
spam,hey boys want hot xxx pics sent direct 2 ur phone txt porn 69855 24hrs free 50p per day stop text stopbcm sf wc1n3xx
ham,1 go write msg 2 put dictionary mode 3cover screen hand 4press ltgt 5gently remove ur hand interesting
ham,okay thought expert
ham,haha first person gonna ask
spam,dear voucher holder next meal us use following link pc 2 enjoy 2 4 1 dining experiencehttpwwwvouch4mecometlpdiningasp
ham,shoot im docs waiting room
ham,wylie tampa sarasota
spam,december mobile 11mths entitled update latest colour camera mobile free call mobile update co free 08002986906
spam,wanna laugh try chitchat mobile logon txting word chat send 8883 cm po box 4217 london w1a 6zf 16 118pmsg rcvd
spam,burger king wanna play footy top stadium get 2 burger king 1st sept go large super cocacola walk winner
ham,left vague said would inform person accounting delayed rent discuss housing agency renting another place checking online places around usc ltgt
ham,okie
spam,got takes 2 take part wrc rally oz u lucozade energy text rally le 61200 25p see packs lucozadecoukwrc itcould u
ham,see half hour
ham,love isnt decision feeling could decide love life would much simpler less magical
spam,ur cashbalance currently 500 pounds maximize ur cashin send cash 86688 150pmsg cc 08718720201 po box 11414 tcrw1
spam,free entry 2 weekly comp chance win ipod txt pod 80182 get entry std txt rate tcs apply 08452810073 details 18
ham,ok set let u noe e details later
spam,congratulations thanks good friend u 2000 xmas prize 2 claim easy call 08712103738 10p per minute btnationalrate
ham,thanks yesterday sir wonderful hope enjoyed burial mojibiola
spam,freeringtone reply real poly eg real1 1 pushbutton 2 dontcha 3 babygoodbye 4 golddigger 5 webeburnin 1st tone free 6 u join 3wk
spam,phony 350 award todays voda numbers ending xxxx selected receive 350 award match please call 08712300220 quoting claim code 3100 standard rates app
spam,show ur colours euro 2004 241 offer get england flag 3lions tone ur phone click following service message info
ham,7 go ok na
spam,ur awarded city break could win 200 summer shopping spree every wk txt store 88039 skilgme tscs087147403231winawkage16 150perwksub
spam,hello orange 1 months free access games news sport plus 10 free texts 20 photo messages reply yes terms apply wwworangecoukow
spam,free message activate 500 free text messages replying message word free terms conditions visit www07781482378com
ham,kkim also finewhen complete course
ham,de asking like
ham,wif family booking tour package
spam,want new nokia 3510i colour phone deliveredtomorrow 300 free minutes mobile 100 free texts free camcorder reply call 08000930705
ham,absolutely love south park recently started watching office
spam,thanks ringtone order reference t91 charged gbp 4 per week unsubscribe anytime calling customer services 09057039994
ham,anything lor toa payoh got place 2 walk meh
spam,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s
ham,well medical missions nigeria
ham,okay good problem thanx
spam,tried contact response offer new nokia fone camcorder hit reply call 08000930705 delivery
spam,u 447801259231 secret admirer looking 2 make contact ufind rreveal thinks ur specialcall 09058094597
ham,ask g iouri ive told story like ten times already
spam,ur going 2 bahamas callfreefone 08081560665 speak live operator claim either bahamas cruise of2000 cash 18only opt txt x 07786200117
ham,poking man everyday teach canada abi saying hi
spam,urgent call 09061749602 landline complimentary 4 tenerife holiday 10000 cash await collection sae tcs box 528 hp20 1yf 150ppm 18
ham,oh yah never cancel leh haha
spam,httptms widelivecomindex wmlid820554ad0a1705572711firsttruec c ringtone
ham,new address applespairsall malarky
ham,
ham,pure hearted person wonderful smile makes even hisher enemies feel guilty enemy catch world smile goodmorning amp smiley sunday
spam,urgent 4 costa del sol holiday 5000 await collection call 09050090044 toclaim sae tc pobox334 stockport sk38xh cost150pm max10mins
ham,catch bus frying egg make tea eating moms left dinner feel love
spam,urgent 4 costa del sol holiday 5000 await collection call 09050090044 toclaim sae tc pobox334 stockport sk38xh cost150pm max10mins
spam,100 dating service call 09064012103 box334sk38ch
spam,auction round 4 highest bid 54 next maximum bid 71 bid send bids e g 10 bid 10 83383 good luck
spam,guaranteed 32000 award maybe even 1000 cash claim ur award call free 0800 18 legitimat efreefone number wat u think
ham,quite ok bit ex u better go eat smth else ill feel guilty
ham,going thru different feelingwavering decisions coping individualtime heal everything believe
ham,kkwhen give treat
spam,thanks ringtone order reference number x49 mobile charged 450 tone arrive please call customer services 09065989182 colourredtextcolourtxtstar
spam,get ur 1st ringtone free reply msg tone gr8 top 20 tones phone every week 150 per wk 2 opt send stop 08452810071 16
ham,practising curtsey
spam,someone contacted dating service entered phone fancy find call landline 09111032124 pobox12n146tf150p
ham,dad wanted talk apartment got late start omw
spam,heard u4 call 4 rude chat private line 01223585334 cum wan 2c pics gettin shagged text pix 8552 2end send stop 8552 sam xxx
spam,contacted dating service someone know find call land line 09050000928 pobox45w2tg150p
ham,naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt
spam,thanks subscription ringtone uk mobile charged 5month please confirm replying yes reply charged
spam,know someone know fancies call 09058097218 find pobox 6 ls15hb 150p
spam,someonone know trying contact via dating service find could call mobile landline 09064015307 box334sk38ch
ham,could work well reach consensus next meeting
spam,sexy singles waiting text age followed gender wither f eg23f gay men text age followed g eg23g
ham,great day beautiful one
ham,mm entirely sure understood text hey ho weekend
spam,congrats nokia 3650 video camera phone call 09066382422 calls cost 150ppm ave call 3mins vary mobiles 16 close 300603 post bcm4284 ldn wc1n3xx
ham,nah straight bring bud drinks something thats actually little useful straight cash
spam,rock yr chik get 100s filthy films xxx pics yr phone rply filth 69669 saristar ltd e14 9yt 08701752560 450p per 5 days stop2 cancel
spam,u want xmas 100 free text messages new video phone half price line rental call free 0800 0721072 find
spam,urgent please call 09061213237 landline 5000 cash luxury 4 canary islands holiday await collection tcs sae po box 177 m227xy 150ppm 16
spam,welcome select o2 service added benefits call specially trained advisors free mobile dialling 402
spam,free message activate 500 free text messages replying message word free terms conditions visit www07781482378com
ham,r meeting
spam,want 750 anytime network mins 150 text new video phone five pounds per week call 08002888812 reply delivery tomorrow
